name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,health_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance,category,state,company_rank
Google,Internet,35,3,19400.0,43800.0,1900.0,13000.0,4700.0,https://www.google.com/,Public,8,"Mountain View, CA",1998.0,0.61,0.15,0.23,3.3,4.7,4.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,1,1,0,1,1,1,1,1,8,1,1,0,0,1,1,1,1,1,1,5,1,1,1,1,0,1,11,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
Microsoft,Computer Hardware & Software,34,3,30300.0,68800.0,5700.0,10000.0,10000.0,https://www.microsoft.com/,Public,8,"Redmond, WA",1975.0,0.65,0.13,0.21,3.1,4.5,4.4,12,1,1,1,1,1,1,1,1,1,1,1,0,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1,Information Technology, WA,2
Apple,Computer Hardware & Software,25,3,21600.0,63600.0,4200.0,8500.0,7100.0,https://www.apple.com/,Public,8,"Cupertino, CA",1976.0,0.65,0.15,0.2,3.0,4.5,4.3,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,0,1,1,1,0,1,1,1,1,9,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
US Air Force,Federal Agencies,40,3,17100.0,19400.0,4800.0,1000.0,7600.0,https://www.af.mil/,Government,8,"Washington, DC",1947.0,0.7,0.05,0.24,2.2,4.5,4.2,11,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,0,0,0,0,1,0,9,1,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,1,Goverment, DC,2
Cisco Systems,Computer Hardware & Software,25,3,22400.0,42500.0,1900.0,4300.0,8000.0,https://www.cisco.com/,Private,8,"San Jose, CA",1984.0,0.69,0.11,0.19,3.0,4.2,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1,Information Technology, CA,2
Capital One,Banks & Credit Unions,32,3,9600.0,20600.0,2000.0,5000.0,3700.0,https://www.capitalonecareers.com/,Public,8,"Mc Lean, VA",1994.0,0.65,0.15,0.2,3.1,4.4,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1,Finance, VA,2
Qualcomm,Computer Hardware & Software,34,3,7000.0,83500.0,1800.0,2600.0,2500.0,https://www.qualcomm.com/,Public,8,"San Diego, CA",1985.0,0.64,0.13,0.23,3.1,4.0,4.1,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,0,1,1,1,1,1,1,0,1,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1,Information Technology, CA,1
Intel Corporation,Computer Hardware & Software,32,3,18200.0,36200.0,411.0,4400.0,6200.0,https://www.intel.com/,Public,8,"Santa Clara, CA",1968.0,0.73,0.08,0.19,3.0,4.2,4.3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1,Information Technology, CA,2
Verizon,Telecommunications Services,23,3,23300.0,31200.0,1300.0,4400.0,10000.0,https://www.verizon.com/about/careers,Public,8,"New York, NY",2000.0,0.64,0.14,0.22,2.9,4.4,4.0,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,Telecommunications, NY,1
Bank of America,Banks & Credit Unions,25,3,26700.0,41700.0,1200.0,6400.0,9600.0,https://www.bankofamerica.com/,Public,8,"Charlotte, NC",1904.0,0.68,0.11,0.21,2.7,4.1,4.1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1,Finance, NC,1
Accenture,Consulting,37,3,77500.0,37900.0,1600.0,16000.0,20000.0,https://www.accenture.com/,Public,8,"Dublin, Ireland",1989.0,0.7,0.13,0.17,2.8,4.1,4.0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,Business Services, Ireland,1
