name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,heakth_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance
Google,Internet,35 office locations,10000+ Employees,19.4K,43.8K,1.9K,13k,4.7k,https://www.google.com/,Company - Public (GOOG),$10+ billion (USD),"Mountain View, CA",1998,61%,15%,23%,3.3,4.7,4.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,1,1,0,1,1,1,1,1,8,1,1,0,0,1,1,1,1,1,1,5,1,1,1,1,0,1,11,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,1
Microsoft,Computer Hardware & Software,34 office locations,10000+ Employees,30.3K,68.8K,5.7K,10k,10k,https://www.microsoft.com/,Company - Public (MSFT),$10+ billion (USD),"Redmond, WA",1975,65%,13%,21%,3.1,4.5,4.4,12,1,1,1,1,1,1,1,1,1,1,1,0,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1
Apple,Computer Hardware & Software,25 office locations,10000+ Employees,21.6K,63.6K,4.2K,8.5k,7.1k,https://www.apple.com/,Company - Public (AAPL),$10+ billion (USD),"Cupertino, CA",1976,65%,15%,20%,3,4.5,4.3,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,0,1,1,1,0,1,1,1,1,9,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1
US Air Force,Federal Agencies,40 office locations,10000+ Employees,17.1K,19.4K,4.8K,1.0k,7.6k,https://www.af.mil/,Government,$10+ billion (USD),"Washington, DC",1947,70%,5%,24%,2.2,4.5,4.2,11,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,0,0,0,0,1,0,9,1,0,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,1
Cisco Systems,Computer Hardware & Software,25 office locations,10000+ Employees,22.4K,42.5K,1.9K,4.3k,8.0k,https://www.cisco.com/,Company - Private,$10+ billion (USD),"San Jose, CA",1984,69%,11%,19%,3,4.2,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,5,1,1,1,1,1
Capital One,Banks & Credit Unions,32 office locations,10000+ Employees,9.6K,20.6K,2K,5.0k,3.7k,https://www.capitalonecareers.com/,Company - Public (COF),$10+ billion (USD),"Mc Lean, VA",1994,65%,15%,20%,3.1,4.4,4.2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1
Qualcomm,Computer Hardware & Software,34 office locations,10000+ Employees,7K,83.5K,1.8K,2.6k,2.5k,https://www.qualcomm.com/,Company - Public (QCOM),$10+ billion (USD),"San Diego, CA",1985,64%,13%,23%,3.1,4,4.1,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,0,1,1,1,1,1,1,0,1,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,1,1,0,1,0,1,0,0,4,1,1,1,0,1
Intel Corporation,Computer Hardware & Software,32 office locations,10000+ Employees,18.2K,36.2K,411,4.4k,6.2k,https://www.intel.com/,Company - Public (INTC),$10+ billion (USD),"Santa Clara, CA",1968,73%,8%,19%,3,4.2,4.3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1
Verizon,Telecommunications Services,23 office locations,10000+ Employees,23.3K,31.2K,1.3K,4.4k,10k,https://www.verizon.com/about/careers,Company - Public (VZ),$10+ billion (USD),"New York, NY",2000,64%,14%,22%,2.9,4.4,4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
Bank of America,Banks & Credit Unions,25 office locations,10000+ Employees,26.7K,41.7K,1.2K,6.4k,9.6k,https://www.bankofamerica.com/,Company - Public (BAC),$10+ billion (USD),"Charlotte, NC",1904,68%,11%,21%,2.7,4.1,4.1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1
Accenture,Consulting,37 office locations,10000+ Employees,77.5K,37.9K,1.6K,16k,20k,https://www.accenture.com/,Company - Public (ACN),$10+ billion (USD),"Dublin, Ireland",1989,70%,13%,17%,2.8,4.1,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
J.P. Morgan,Investment Banking & Asset Management,25 office locations,10000+ Employees,25.4K,38.8K,7.5K,8.8k,7.2k,https://www.jpmorgan.com/,Company - Public (JPM),$10+ billion (USD),"New York, NY",1799,64%,13%,23%,2.9,4,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,0,1,1,1,6,1,1,1,1,1,1,6,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1
T-Mobile,Telecommunications Services,25 office locations,10000+ Employees,11.3K,16.5K,3.1K,2.1k,3.7k,https://www.t-mobile.com/,Company - Public (TMUS),$10+ billion (USD),"Bellevue, WA",2001,69%,15%,16%,2.7,4.3,4.1,11,1,1,1,1,1,1,1,1,1,0,1,0,1,6,1,1,1,1,1,1,0,0,0,9,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,0,1,4,1,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,1
US Army,N/A,42 office locations,10000+ Employees,27.8K,50.8K,205K,1.9k,12k,https://www.army.mil/,Government,Less than $1 million (USD),"Washington, DC",1775,69%,6%,25%,2.1,4.5,3.9,12,1,1,1,1,0,1,1,1,1,1,1,1,1,6,1,1,1,0,0,0,1,1,1,9,1,1,1,1,1,1,1,1,1,0,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
